ns4:QUOTE_DATE;ns4:RATE_TYPE;ns4:RATE
9-8-2010 00:00;BC_20year;3,730000019
9-8-2010 00:00;Over_10_Years;3,559999943
9-8-2010 00:00;Real_Rate;1,690000057
10-8-2010 00:00;BC_20year;3,700000048
10-8-2010 00:00;Over_10_Years;3,519999981
10-8-2010 00:00;Real_Rate;1,610000014
11-8-2010 00:00;BC_20year;3,619999886
11-8-2010 00:00;Over_10_Years;3,450000048
11-8-2010 00:00;Real_Rate;1,580000043
12-8-2010 00:00;BC_20year;3,630000114
12-8-2010 00:00;Over_10_Years;3,460000038
12-8-2010 00:00;Real_Rate;1,659999967
13-8-2010 00:00;BC_20year;3,559999943
13-8-2010 00:00;Over_10_Years;3,390000105
13-8-2010 00:00;Real_Rate;1,610000014
16-8-2010 00:00;BC_20year;3,420000076
16-8-2010 00:00;Over_10_Years;3,289999962
16-8-2010 00:00;Real_Rate;1,549999952
17-8-2010 00:00;BC_20year;3,470000029
17-8-2010 00:00;Over_10_Years;3,349999905
17-8-2010 00:00;Real_Rate;1,590000033
18-8-2010 00:00;BC_20year;3,440000057
18-8-2010 00:00;Over_10_Years;3,319999933
18-8-2010 00:00;Real_Rate;1,590000033
19-8-2010 00:00;BC_20year;3,369999886
19-8-2010 00:00;Over_10_Years;3,25999999
19-8-2010 00:00;Real_Rate;1,580000043
20-8-2010 00:00;BC_20year;3,380000114
20-8-2010 00:00;Over_10_Years;3,279999971
20-8-2010 00:00;Real_Rate;1,590000033
23-8-2010 00:00;BC_20year;3,369999886
23-8-2010 00:00;Over_10_Years;3,25999999
23-8-2010 00:00;Real_Rate;1,570000052
24-8-2010 00:00;BC_20year;3,279999971
24-8-2010 00:00;Over_10_Years;3,170000076
24-8-2010 00:00;Real_Rate;1,529999971
25-8-2010 00:00;BC_20year;3,309999943
25-8-2010 00:00;Over_10_Years;3,200000048
25-8-2010 00:00;Real_Rate;1,50999999
26-8-2010 00:00;BC_20year;3,25
26-8-2010 00:00;Over_10_Years;3,150000095
26-8-2010 00:00;Real_Rate;1,440000057
27-8-2010 00:00;BC_20year;3,410000086
27-8-2010 00:00;Over_10_Years;3,309999943
27-8-2010 00:00;Real_Rate;1,519999981
30-8-2010 00:00;BC_20year;3,299999952
30-8-2010 00:00;Over_10_Years;3,190000057
30-8-2010 00:00;Real_Rate;1,460000038
31-8-2010 00:00;BC_20year;3,230000019
31-8-2010 00:00;Over_10_Years;3,119999886
31-8-2010 00:00;Real_Rate;1,419999957
1-9-2010 00:00;BC_20year;3,349999905
1-9-2010 00:00;Over_10_Years;3,25
1-9-2010 00:00;Real_Rate;1,470000029
2-9-2010 00:00;BC_20year;3,410000086
2-9-2010 00:00;Over_10_Years;3,299999952
2-9-2010 00:00;Real_Rate;1,49000001
3-9-2010 00:00;BC_20year;3,49000001
3-9-2010 00:00;Over_10_Years;3,380000114
3-9-2010 00:00;Real_Rate;1,50999999
7-9-2010 00:00;BC_20year;3,369999886
7-9-2010 00:00;Over_10_Years;3,269999981
7-9-2010 00:00;Real_Rate;1,440000057
8-9-2010 00:00;BC_20year;3,420000076
8-9-2010 00:00;Over_10_Years;3,319999933
8-9-2010 00:00;Real_Rate;1,470000029
9-9-2010 00:00;BC_20year;3,539999962
9-9-2010 00:00;Over_10_Years;3,430000067
9-9-2010 00:00;Real_Rate;1,519999981
10-9-2010 00:00;BC_20year;3,579999924
10-9-2010 00:00;Over_10_Years;3,470000029
10-9-2010 00:00;Real_Rate;1,50999999
13-9-2010 00:00;BC_20year;3,519999981
13-9-2010 00:00;Over_10_Years;3,420000076
13-9-2010 00:00;Real_Rate;1,429999948
14-9-2010 00:00;BC_20year;3,480000019
14-9-2010 00:00;Over_10_Years;3,369999886
14-9-2010 00:00;Real_Rate;1,440000057
15-9-2010 00:00;BC_20year;3,549999952
15-9-2010 00:00;Over_10_Years;3,440000057
15-9-2010 00:00;Real_Rate;1,49000001
16-9-2010 00:00;BC_20year;3,609999895
16-9-2010 00:00;Over_10_Years;3,49000001
16-9-2010 00:00;Real_Rate;1,529999971
17-9-2010 00:00;BC_20year;3,599999905
17-9-2010 00:00;Over_10_Years;3,480000019
17-9-2010 00:00;Real_Rate;1,549999952
20-9-2010 00:00;BC_20year;3,569999933
20-9-2010 00:00;Over_10_Years;3,440000057
20-9-2010 00:00;Real_Rate;1,5
21-9-2010 00:00;BC_20year;3,49000001
21-9-2010 00:00;Over_10_Years;3,349999905
21-9-2010 00:00;Real_Rate;1,370000005
22-9-2010 00:00;BC_20year;3,430000067
22-9-2010 00:00;Over_10_Years;3,299999952
22-9-2010 00:00;Real_Rate;1,320000052
23-9-2010 00:00;BC_20year;3,430000067
23-9-2010 00:00;Over_10_Years;3,299999952
23-9-2010 00:00;Real_Rate;1,350000024
24-9-2010 00:00;BC_20year;3,5
24-9-2010 00:00;Over_10_Years;3,359999895
24-9-2010 00:00;Real_Rate;1,409999967
27-9-2010 00:00;BC_20year;3,400000095
27-9-2010 00:00;Over_10_Years;3,269999981
27-9-2010 00:00;Real_Rate;1,379999995
28-9-2010 00:00;BC_20year;3,349999905
28-9-2010 00:00;Over_10_Years;3,210000038
28-9-2010 00:00;Real_Rate;1,299999952
29-9-2010 00:00;BC_20year;3,380000114
29-9-2010 00:00;Over_10_Years;3,24000001
29-9-2010 00:00;Real_Rate;1,370000005
